time_stamp,pm2.5_atm,pm2.5_cf_1
2026-01-01T00:00:00Z,51,61.6
2026-01-01T01:00:00Z,116.4,162.1
2026-01-01T02:00:00Z,203.7,300.4
2026-01-01T03:00:00Z,55.4,68.5
2026-01-01T04:00:00Z,58.6,75.9
2026-01-01T05:00:00Z,57.5,73.6
2026-01-01T06:00:00Z,52.2,62.5
2026-01-01T07:00:00Z,78,111.3
2026-01-01T08:00:00Z,58,75.7
2026-01-01T09:00:00Z,54.7,68.2
2026-01-01T10:00:00Z,53.5,66.2
2026-01-01T11:00:00Z,53.2,65.8
2026-01-01T12:00:00Z,51.3,62.2
2026-01-01T13:00:00Z,43.9,49.4
2026-01-01T14:00:00Z,40.7,45.1
2026-01-01T15:00:00Z,48.2,56.1
2026-01-01T16:00:00Z,39.8,42.4
2026-01-01T17:00:00Z,44.2,49.9
2026-01-01T18:00:00Z,32.6,33
2026-01-01T19:00:00Z,41.7,46.2
2026-01-01T20:00:00Z,42.3,47.3
2026-01-01T21:00:00Z,46.9,55.5
2026-01-01T22:00:00Z,48.1,57.4
2026-01-01T23:00:00Z,50.3,62.1
2026-01-02T00:00:00Z,51.1,63.3
2026-01-02T01:00:00Z,44.8,51.3
2026-01-02T02:00:00Z,39.9,43.6
2026-01-02T03:00:00Z,34.8,38
2026-01-02T04:00:00Z,11.3,13.1
2026-01-02T05:00:00Z,48.2,58.9
2026-01-02T06:00:00Z,45.2,52.3
2026-01-02T07:00:00Z,47.2,55.5
2026-01-02T08:00:00Z,41.4,45.9
2026-01-02T09:00:00Z,42.1,45.9
2026-01-02T10:00:00Z,21.6,21.6
2026-01-02T11:00:00Z,15,15
2026-01-02T12:00:00Z,9.5,9.5
2026-01-02T13:00:00Z,5.1,5.1
2026-01-02T14:00:00Z,6.2,6.2
2026-01-02T15:00:00Z,5.9,5.9
2026-01-02T16:00:00Z,2.1,2.1
2026-01-02T17:00:00Z,0.1,0.1
2026-01-02T18:00:00Z,0.1,0.1
2026-01-02T19:00:00Z,0,0
2026-01-02T20:00:00Z,0,0
2026-01-02T21:00:00Z,0,0
2026-01-02T22:00:00Z,2.5,2.5
2026-01-02T23:00:00Z,3.4,3.4
2026-01-03T00:00:00Z,5.3,5.3
2026-01-03T01:00:00Z,9.5,9.5
2026-01-03T02:00:00Z,2.8,2.8
2026-01-03T03:00:00Z,0.8,0.8
2026-01-03T04:00:00Z,1.8,1.8
2026-01-03T05:00:00Z,1.4,1.4
2026-01-03T06:00:00Z,1.6,1.6
2026-01-03T07:00:00Z,1.7,1.7
2026-01-03T08:00:00Z,1,1
2026-01-03T09:00:00Z,0.4,0.4
2026-01-03T10:00:00Z,0.7,0.7
2026-01-03T11:00:00Z,0.9,0.9
2026-01-03T12:00:00Z,0.8,0.8
2026-01-03T13:00:00Z,0.6,0.6
2026-01-03T14:00:00Z,0.3,0.3
2026-01-03T15:00:00Z,0.3,0.3
2026-01-03T16:00:00Z,0.4,0.4
2026-01-03T17:00:00Z,0.9,0.9
2026-01-03T18:00:00Z,0.6,0.6
2026-01-03T19:00:00Z,0.4,0.4
2026-01-03T20:00:00Z,0.5,0.5
2026-01-03T21:00:00Z,0.4,0.4
2026-01-03T22:00:00Z,0.4,0.4
2026-01-03T23:00:00Z,0.4,0.4
2026-01-04T00:00:00Z,0.3,0.3
2026-01-04T01:00:00Z,0.1,0.1
2026-01-04T02:00:00Z,0.1,0.1
2026-01-04T03:00:00Z,0.1,0.1
2026-01-04T04:00:00Z,0.1,0.1
2026-01-04T05:00:00Z,0.1,0.1
2026-01-04T06:00:00Z,0.1,0.1
2026-01-04T07:00:00Z,0.1,0.1
2026-01-04T08:00:00Z,0.1,0.1
2026-01-04T09:00:00Z,0.1,0.1
2026-01-04T10:00:00Z,0,0
2026-01-04T11:00:00Z,0,0
2026-01-04T12:00:00Z,0,0
2026-01-04T13:00:00Z,0,0
2026-01-04T14:00:00Z,0,0
2026-01-04T15:00:00Z,0,0
2026-01-04T16:00:00Z,0,0
2026-01-04T17:00:00Z,0,0
2026-01-04T18:00:00Z,0,0
2026-01-04T19:00:00Z,0,0
2026-01-04T20:00:00Z,0,0
2026-01-04T21:00:00Z,0,0
2026-01-04T22:00:00Z,0.1,0.1
2026-01-04T23:00:00Z,0.1,0.1
2026-01-05T00:00:00Z,0.1,0.1
2026-01-05T01:00:00Z,0.1,0.1
2026-01-05T02:00:00Z,0.2,0.2
2026-01-05T03:00:00Z,0.2,0.2
2026-01-05T04:00:00Z,0.1,0.1
2026-01-05T05:00:00Z,0.1,0.1
2026-01-05T06:00:00Z,0.1,0.1
2026-01-05T07:00:00Z,0,0
2026-01-05T08:00:00Z,0,0
2026-01-05T09:00:00Z,0,0
2026-01-05T10:00:00Z,0,0
2026-01-05T11:00:00Z,0,0
2026-01-05T12:00:00Z,0,0
2026-01-05T13:00:00Z,0,0
2026-01-05T14:00:00Z,0,0
2026-01-05T15:00:00Z,0.3,0.3
2026-01-05T16:00:00Z,0.1,0.1
2026-01-05T17:00:00Z,0,0
2026-01-05T18:00:00Z,0,0
2026-01-05T19:00:00Z,0.1,0.1
2026-01-05T20:00:00Z,0.1,0.1
2026-01-05T21:00:00Z,0.1,0.1
2026-01-05T22:00:00Z,0.1,0.1
2026-01-05T23:00:00Z,0.1,0.1
2026-01-06T00:00:00Z,0.1,0.1
2026-01-06T01:00:00Z,0.3,0.3
2026-01-06T02:00:00Z,0.2,0.2
2026-01-06T03:00:00Z,0.1,0.1
2026-01-06T04:00:00Z,0.1,0.1
2026-01-06T05:00:00Z,0.2,0.2
2026-01-06T06:00:00Z,0,0
2026-01-06T07:00:00Z,0.1,0.1
2026-01-06T08:00:00Z,0,0
2026-01-06T09:00:00Z,0,0
2026-01-06T10:00:00Z,0,0
2026-01-06T11:00:00Z,0,0
2026-01-06T12:00:00Z,0,0
2026-01-06T13:00:00Z,0,0
2026-01-06T14:00:00Z,0,0
2026-01-06T15:00:00Z,0,0
2026-01-06T16:00:00Z,0.1,0.1
2026-01-06T17:00:00Z,0,0
2026-01-06T18:00:00Z,0,0
2026-01-06T19:00:00Z,0,0
2026-01-06T20:00:00Z,0,0
2026-01-06T21:00:00Z,0.1,0.1
2026-01-06T22:00:00Z,0,0
2026-01-06T23:00:00Z,0.1,0.1
2026-01-07T00:00:00Z,0,0
2026-01-07T01:00:00Z,57,83.2
2026-01-07T02:00:00Z,12.1,17.5
2026-01-07T03:00:00Z,0.1,0.1
2026-01-07T04:00:00Z,0.1,0.1
2026-01-07T05:00:00Z,0.1,0.1
2026-01-07T06:00:00Z,0.1,0.1
2026-01-07T07:00:00Z,0.1,0.1
2026-01-07T08:00:00Z,0,0
2026-01-07T09:00:00Z,0,0
2026-01-07T10:00:00Z,0,0
2026-01-07T11:00:00Z,0,0
2026-01-07T12:00:00Z,0,0
2026-01-07T13:00:00Z,0,0
2026-01-07T14:00:00Z,0.2,0.2
2026-01-07T15:00:00Z,0,0
2026-01-07T16:00:00Z,0.1,0.1
2026-01-07T17:00:00Z,0,0
2026-01-07T18:00:00Z,0,0
2026-01-07T19:00:00Z,0,0
2026-01-07T20:00:00Z,0,0
2026-01-07T21:00:00Z,0,0
2026-01-07T22:00:00Z,0.4,0.4
2026-01-07T23:00:00Z,0.3,0.3
2026-01-08T00:00:00Z,1,1
2026-01-08T01:00:00Z,0.8,0.8
2026-01-08T02:00:00Z,3.1,3.1
2026-01-08T03:00:00Z,2.5,2.5
2026-01-08T04:00:00Z,5.2,5.2
2026-01-08T05:00:00Z,5.2,5.2
2026-01-08T06:00:00Z,5.7,5.7
2026-01-08T07:00:00Z,7.7,7.7
2026-01-08T08:00:00Z,9.9,9.9
2026-01-08T09:00:00Z,3.1,3.1
2026-01-08T10:00:00Z,0.1,0.1
2026-01-08T11:00:00Z,0,0
2026-01-08T12:00:00Z,0,0
2026-01-08T13:00:00Z,0,0
2026-01-08T14:00:00Z,0.2,0.2
2026-01-08T15:00:00Z,0.6,0.6
2026-01-08T16:00:00Z,0.8,0.8
2026-01-08T17:00:00Z,1.2,1.2
2026-01-08T18:00:00Z,1.1,1.1
2026-01-08T19:00:00Z,0.8,0.8
2026-01-08T20:00:00Z,1.1,1.1
2026-01-08T21:00:00Z,0.7,0.7
2026-01-08T22:00:00Z,1.2,1.2
2026-01-08T23:00:00Z,0.6,0.6
2026-01-09T00:00:00Z,0.7,0.7
