county_name,site_number,local_site_name,latitude,longitude,date_local,pm25_value
Salt Lake County,2005,Copper View,40.598056,-111.894167,2025-01-01,6.5
Salt Lake County,2005,Copper View,40.598056,-111.894167,2025-01-02,5.716667
Salt Lake County,2005,Copper View,40.598056,-111.894167,2025-01-03,2.341667
Salt Lake County,2005,Copper View,40.598056,-111.894167,2025-01-04,3.8
Salt Lake County,2005,Copper View,40.598056,-111.894167,2025-01-05,5.216667
Salt Lake County,2005,Copper View,40.598056,-111.894167,2025-01-06,6.1875
Salt Lake County,2005,Copper View,40.598056,-111.894167,2025-01-07,2.916667
Salt Lake County,2005,Copper View,40.598056,-111.894167,2025-01-08,4.4
Salt Lake County,2005,Copper View,40.598056,-111.894167,2025-01-09,7.7
Salt Lake County,2005,Copper View,40.598056,-111.894167,2025-01-10,7.25
Salt Lake County,2005,Copper View,40.598056,-111.894167,2025-01-11,2.541667
Salt Lake County,2005,Copper View,40.598056,-111.894167,2025-01-12,4.258333
Salt Lake County,2005,Copper View,40.598056,-111.894167,2025-01-13,5.429167
Salt Lake County,2005,Copper View,40.598056,-111.894167,2025-01-14,9.066667
Salt Lake County,2005,Copper View,40.598056,-111.894167,2025-01-15,16.9
Salt Lake County,2005,Copper View,40.598056,-111.894167,2025-01-16,25.345833
Salt Lake County,2005,Copper View,40.598056,-111.894167,2025-01-17,20.375
Salt Lake County,2005,Copper View,40.598056,-111.894167,2025-01-18,2.620833
Salt Lake County,2005,Copper View,40.598056,-111.894167,2025-01-19,4.116667
Salt Lake County,2005,Copper View,40.598056,-111.894167,2025-01-20,6.633333
Salt Lake County,2005,Copper View,40.598056,-111.894167,2025-01-21,7.383333
Salt Lake County,2005,Copper View,40.598056,-111.894167,2025-01-22,9.933333
Salt Lake County,2005,Copper View,40.598056,-111.894167,2025-01-23,8.579167
Salt Lake County,2005,Copper View,40.598056,-111.894167,2025-01-24,7.520833
Salt Lake County,2005,Copper View,40.598056,-111.894167,2025-01-25,9.566667
Salt Lake County,2005,Copper View,40.598056,-111.894167,2025-01-26,11.275
Salt Lake County,2005,Copper View,40.598056,-111.894167,2025-01-27,11.225
Salt Lake County,2005,Copper View,40.598056,-111.894167,2025-01-28,17.825
Salt Lake County,2005,Copper View,40.598056,-111.894167,2025-01-29,14.366667
Salt Lake County,2005,Copper View,40.598056,-111.894167,2025-01-30,21.975
Salt Lake County,2005,Copper View,40.598056,-111.894167,2025-01-31,11.6
Salt Lake County,2005,Copper View,40.598056,-111.894167,2025-02-01,3.3625
Salt Lake County,2005,Copper View,40.598056,-111.894167,2025-02-02,6.8125
Salt Lake County,2005,Copper View,40.598056,-111.894167,2025-02-03,4.125
