sensor_index,name,latitude,longitude
262151,CleanAire NC Deck,40.600685,-112.04675
459,Flight Park North 2,40.474567,-111.891495
984,Willow Creek Golf,40.595387,-111.807755
1092,Mile High Drive,40.66416,-111.7987
1539,Douglas 2,40.774963,-111.84694
2974,5003T ac1b,40.47354,-111.88429
2977,5003T ac16,40.473038,-111.886185
2980,5003T acdd,40.47382,-111.886314
3092,Pineridge,40.733234,-111.5874
3238,Creekside Park,40.664246,-111.84923
3388,Montessori Community School,40.73344,-111.82151
4553,Eaglewood GC,40.835648,-111.887764
5430,Sandy East Bench,40.54301,-111.81915
5460,1027 Hollywood,40.72751,-111.861435
5486,AFM DDell Rd,40.55721,-111.820854
5572,Riverton,40.522305,-111.92919
5758,Draper Red Rock,40.48866,-111.85717
5808,Robertson Home,40.646835,-112.02559
5836,Alpine Utah,40.464424,-111.77104
6018,South Weber - S 2100 E,41.124454,-111.924706
6080,Syracuse Cemetery,41.09514,-112.047745
6276,Philo T. Farnsworth Elementary powered by UTOPIA Fiber,40.691936,-111.99147
6288,West Valley Hillsdale Elementary powered by UTOPIA Fiber,40.701218,-111.96849
6298,Layton Oak Forest Park powered by UTOPIA Fiber,41.093666,-111.92332
6332,Layton Flint St. &amp; Layton Pkwy powered by UTOPIA Fiber,41.053085,-111.9725
6348,Layton City 3000 N Church powered by UTOPIA Fiber,41.101795,-111.93963
6352,Holliday,40.656517,-111.8456
6356,Cobble Knoll,40.77445,-111.88332
6360,Capitol Hill Construction,40.766937,-111.86745
6434,3500 South 500 East,40.696266,-111.87738
6602,rainbow,40.6854,-111.83166
6622,Tracy Aviary,40.74361,-111.87632
7206,North Holladay,40.685474,-111.82784
7480,Deer Hollow,40.558186,-111.8048
271313,PiR 2835,40.70921,-111.83775
9566,MasterControl,40.633564,-111.80854
272701,Shelley's House,40.616924,-111.837524
10808,1-800 Contacts,40.507317,-111.899185
11358,Buckboard,40.73598,-111.57678
274454,Purple,40.63181,-112.032265
12989,PeachyAir,40.507996,-111.84933
13075,Oquirrh Highlands,40.629227,-112.04045
13227,West Valley Centennial Park powered by UTOPIA Fiber,40.703102,-112.02363
13235,Robert Frost Elementary powered by UTOPIA Fiber,40.67518,-111.97574
13237,Layton King Elementary powered by UTOPIA Fiber,41.074944,-111.95793
13239,Layton Fire Department powered by UTOPIA Fiber,41.068417,-112.005936
13253,Layton City Public Works powered by UTOPIA Fiber,41.088875,-111.96451
13273,West Valley 2920S 5990W powered by UTOPIA Fiber,40.70729,-112.03398
13279,West Valley Valley Fair powered by UTOPIA Fiber,40.68914,-111.957115
13307,Murray 70W 6570S powered by UTOPIA Fiber,40.63026,-111.893715
13309,West Valley Gearld L. Wright Elementary powered by UTOPIA Fiber,40.70602,-112.05378
13311,Midvale Middle School powered by UTOPIA Fiber,40.606117,-111.90424
13313,West Valley Utah Cultural Celebration Center powered by UTOPIA Fiber,40.703976,-111.92974
14017,Weilenmann School of Discovery,40.752434,-111.59248
15817,Northridge High School,41.094536,-111.96916
15827,Davis High School,41.0294,-111.932014
16001,Oak Hollow,40.493534,-111.86766
278649,Jordan River outside,40.759583,-111.92369
17949,Murray Hillcrest Junior High powered by UTOPIA Fiber,40.65524,-111.88562
280142,BridgewaterCircle,40.613327,-111.81431
18021,Murray Grant Park powered by UTOPIA Fiber,40.637936,-111.89346
18029,Centerville City Hall powered by UTOPIA Fiber,40.919155,-111.87821
18069,John F Kennedy Junior High powered by UTOPIA Fiber,40.674377,-112.00499
18115,Midvale Jordan Valley School powered by UTOPIA Fiber,40.61586,-111.85935
18237,Murray 200E 4600S powered by UTOPIA Fiber,40.67275,-111.88601
18259,Murray Jordan River Parkway Trail powered by UTOPIA Fiber,40.638115,-111.92207
18319,Carl Sandburg Elementary powered by UTOPIA Fiber,40.686424,-112.01881
18321,Midvale Fire Station Park powered by UTOPIA Fiber,40.62173,-111.87413
18469,Devonshire,40.735943,-111.80772
281274,Cottonwood Heights,40.6224,-111.80918
281318,PM10 TESTER 2,40.47523,-111.8861
282206,Despain Farm,40.5761,-111.78776
20239,Suncrest - Vista Ridge Court,40.474003,-111.8389
282666,West Jordan 2,40.607132,-111.92878
282690,West Jordan 4,40.610325,-112.04399
20897,Jordan Meadows,40.782787,-111.94669
20957,Viewmont Elementary,40.64714,-111.91174
283230,West Jordan 1,40.606842,-111.93956
283248,West Jordan 3,40.613373,-111.98498
284656,Independence Village,40.481133,-111.918365
22647,Ksel,40.57964,-111.80601
22955,Dover,40.741535,-111.818665
23587,CANYON RIM - DEVEREAUX,40.709763,-111.8179
23627,Mtn. Green - Cottonwoods,41.145077,-111.7559
285882,Emerson House,40.737175,-111.87824
24413,Oaks,40.77887,-111.75752
24441,Kaysville,41.02446,-111.932144
25309,Farmington High School,40.9656,-111.89954
28323,Mikalm,40.679787,-111.78401
28675,4th Ave,40.77386,-111.858665
30887,Centerville 1700 N Frontage Rd powered by UTOPIA Fiber,40.942867,-111.89044
30917,Centerville Jr High School powered by UTOPIA Fiber,40.908325,-111.8787
30943,Murray Fashion Place Mall powered by UTOPIA Fiber,40.63357,-111.88259
30953,Centerville Smoot Park powered by UTOPIA Fiber,40.939285,-111.8828
30955,Midvale Arkansas St. powered by UTOPIA Fiber,40.61303,-111.895325
30967,Layton Oak Hills Dr. &amp; Hwy 89 powered by UTOPIA Fiber,41.0665,-111.912445
30993,Morgan City Visitor's Center powered by UTOPIA Fiber,41.043926,-111.67677
31013,Murray 3400S West Temple powered by UTOPIA Fiber,40.697025,-111.8967
294017,1159 E Emerson Ave,40.737495,-111.85777
32671,West Clinton Elementary,41.140507,-112.08092
295179,Breathe Easy 12th Ave,40.78324,-111.87203
33163,Sand Springs Elementary School,41.06404,-112.02499
