site_number,local_site_name,lat,lon,pm25
4,Bountiful Viewmont,40.902967,-111.884467,6.900880407949791
2005,Copper View,40.598056,-111.894167,8.428562094117648
3006,Hawthorne,40.736389,-111.872222,7.647371544041451
3010,ROSE PARK,40.78422,-111.931,8.011544441333333
3013,Herriman #3,40.496392,-112.036298,5.369882853703704
3014,Lake Park,40.709762,-112.00876,6.408271603703704
3015,Utah Technical Center,40.777145,-111.945849,7.881143794117647
3016,Inland Port,40.807897,-112.087717,6.283040133333333
3018,Red Butte,40.766528,-111.82835,4.224965777777777
4002,Near Road,40.662961,-111.901851,9.62542412745098
